sfi,ame,se,ci_l,ci_u
0,0.06892859155438703,0.023299378678541715,0.023261809344445272,0.1145953737643288
5,0.0828117533823282,0.02862422194628482,0.02670827836760995,0.13891522839704645
10,0.086600977056798,0.03022295089547924,0.027363993301658694,0.1458379608119373
15,0.09082470834190161,0.03116770515751183,0.029736006233178423,0.1519134104506248
20,0.0918895804039907,0.03093537992627029,0.031256235748500935,0.15252292505948045
25,0.09317776445672596,0.031051015385022782,0.032317774302081305,0.15403775461137062
