vdem.corr,fit,se,ci_l,ci_u
0,0.32974576799202676,0.01705566967346193,0.2963166554320414,0.36317488055201214
0.02,0.3314021619489684,0.016803492942908824,0.2984673157808671,0.36433700811706965
0.04,0.33306274176963396,0.016562768789002657,0.30059971494318877,0.36552576859607916
0.06,0.33472747664814423,0.016334301084366287,0.3027122465227863,0.3667427067735022
0.08,0.33639633539089814,0.01611891050407395,0.3048032708029132,0.3679893999788831
0.1,0.3380692864179513,0.015917429055202402,0.3068711254697546,0.369267447366148
0.12,0.33974629776446386,0.015730693569640013,0.30891413836796944,0.3705784571609583
0.14,0.3414273370822206,0.015559538164027071,0.31093064228072753,0.3719240318837137
0.16,0.34311237164122244,0.015404785718395176,0.3129189916331679,0.373305751649277
0.18,0.34480136833134883,0.01526723848128027,0.3148775809080395,0.37472515575465815
0.2,0.346494293664092,0.015147667971259443,0.3168048644404235,0.37618372288776053
0.22,0.3481911137743636,0.015046804409142397,0.3186993771324445,0.37768285041628274
0.24,0.34989179442237195,0.01496532597617412,0.3205597555090707,0.3792238333356732
0.26,0.35159630099557165,0.014903848245380833,0.3223847584346252,0.3808078435565181
0.28,0.3533045985106852,0.01486291416907974,0.3241732867392889,0.38243591028208146
0.3,0.3550166516157958,0.01484298501952211,0.3259244009775325,0.38410890225405914
0.32,0.35673242459251264,0.014844432667165319,0.3276373365648686,0.3858275126201567
0.34,0.3584518813582074,0.014867533540089467,0.329311515619632,0.38759224709678275
0.36,0.36017498546832244,0.01491246453967293,0.3309465549705635,0.38940341596608136
0.38,0.3619017001187506,0.014979301096207143,0.3325422699701846,0.3912611302673166
0.4,0.36363198814828707,0.015068017441075821,0.33409867396377846,0.3931653023327957
0.42,0.365365812041151,0.015178489058946346,0.33561597348561617,0.3951156505966858
0.44,0.3671031339295801,0.015310497174424769,0.33709455946770756,0.39711170839145266
0.46,0.3688439155964947,0.015463735032436685,0.33853499493291883,0.3991528362600706
0.48,0.37058811847823353,0.015637815657921425,0.33993799978870753,0.4012382371677595
0.5,0.3723357036673594,0.015832280733017626,0.34130443343064487,0.40336697390407394
0.52,0.37408663191553543,0.01604661021032743,0.3426352759032937,0.4055379879277772
0.54,0.3758408636364713,0.016280232287461158,0.3439316083530474,0.40775011891989515
0.56,0.37759835890893867,0.016532533396876683,0.34519459345106035,0.410002124366817
0.58,0.37935907747985687,0.016802867910378428,0.34642545637551514,0.4122926985841986
0.6,0.3811229787674465,0.01709056731333393,0.34762546683331197,0.414620490701581
0.62,0.3828900218644526,0.01739494866366514,0.3487959224836689,0.41698412124523626
0.64,0.3846601655414353,0.017715322209845515,0.34993813401013807,0.4193821970727325
0.66,0.38643336825012886,0.018050998096564987,0.3510534119808615,0.42181332451939624
0.68,0.3882095881268678,0.018401292133773974,0.3521430555446708,0.4242761207090648
0.7000000000000001,0.38998878299607964,0.01876553064316748,0.3532083429354714,0.4267692230566879
0.72,0.3917709103738447,0.019143054425489643,0.354250523699885,0.4292912970478044
0.74,0.3935559274715213,0.01953322191276428,0.3552708125225033,0.4318410424205393
0.76,0.3953437911994362,0.019935411582696256,0.35627038449735154,0.43441719790152084
0.78,0.39713445817064075,0.020349023719218977,0.35725037168097157,0.4370185446603099
0.8,0.39892788470472973,0.020773481604863378,0.35821186075919753,0.4396439086502619
0.8200000000000001,0.4007240268317253,0.021208232228503286,0.35915589166385886,0.44229216199959176
0.84,0.40252284029602287,0.02165274658726308,0.3600834569849872,0.4449622236070585
0.86,0.4043242805603998,0.0221065196548987,0.36099550203679837,0.44765305908400127
0.88,0.40612830281008583,0.022569070081549698,0.3618929254502484,0.45036368016992323
0.9,0.4079348619568937,0.023039939682004528,0.36277658018016484,0.4530931437336226
0.92,0.40974391264341126,0.02351869276194431,0.3636472748300004,0.4558405504568221
0.9400000000000001,0.41155540924725165,0.0240049153243332,0.3645057752115586,0.4586050432829447
0.96,0.41336930588536347,0.024498214191381443,0.36535280607025583,0.4613858057004711
0.98,0.4151855564183978,0.024998216071433158,0.3661890529183888,0.46418205991840683
1,0.41700411445513336,0.02550456659474885,0.3670151639294256,0.4669930649808411
