"Variable","N","Mean","Median","SD","Min","Max"
"Total Pirate Attacks",2644,3.109304084720121,0,14.382686694397279,0,265
"Corruption",2895,2.5731108857764715,2.832539886236191,1.0121390411614952,0.04088163375854004,4.3487343788147
"State Fragility Index",3017,8.507126284388466,8,6.350089725156254,0,25
"Polity",2974,3.877942165433759,6,6.335785449655054,-10,10
"Military Expenditures ($US, millions)",2571,9950.071489692726,995,47534.915598517386,0,693600
"Ln GDP per capita (PPP)",3153,9.313644966671855,9.380973935083645,1.1372682944896222,6.143827835671748,11.625179892908005
"Ln Coastline Length",3521,7.129921143585271,7.162397497355718,1.6715032972836,2.995732273553991,12.216418937584319
"Ln Population",3368,2.458281887699194,2.38625585440201,1.644864674861778,-0.9803253799770677,7.253017343064127
